brewery,axis,score,evidence_type,evidence_detail,source_url,source_quality,phase_a_verified,confidence,notes
ISEKADO,1,5,IBA_UK_Gold,"International Brewing Awards (UK) Gold + Trophy 2024 NAMA-KADO Smoked Oyster Stout",https://prtimes.jp/main/html/rd/p/000000003.000086893.html,priority_2,YES,High,4大会連続Gold(2017/2019/2021/2024) 日本初
ISEKADO,1,5,IBA_UK_Gold,"International Brewing Awards (UK) Gold 2024 Pale Ale Smallpack Ale Class 3",https://www.kadoyahonten.co.jp/isekado/award-history/,priority_2,YES,High,
ISEKADO,1,5,IBC_Gold,"IBC 2024 Gold Sailing Day NZ IPA Juicy/Hazy IPA",https://www.beertaster.org/medal/ibc2024_award.pdf,priority_2,YES,High,
ISEKADO,1,5,IBC_Gold,"IBC 2024 Gold ねこにひき Juicy/Hazy Imperial IPA",https://www.beertaster.org/medal/ibc2024_award.pdf,priority_2,YES,High,
ISEKADO,2,5,QC_system,"科学的QC・島津製作所共同研究GC-MS分析",https://www.shimadzu.co.jp/today/20240130-1.html,priority_4,YES,High,業界の品質可視化リファレンスケース
ISEKADO,3,4,unique_yeast,"野生酵母KADOYA1単離 三重大学DNA解析→ヒメホワイト",https://www.biyagura.jp/f/isekadoya-president,priority_5,YES,Mid,
ISEKADO,4,5,industry_influence,"鈴木成宗(東北大学農学部) 科学的アプローチで業界教育",https://www.shimadzu.co.jp/boomerang/42/06.html,priority_4,YES,Mid,博士号は誤情報の疑い
West Coast Brewing,1,5,WBC_Gold,"WBC2025 Gold The Gateway Dessert/Pastry Stout",https://x.com/WCBShizuoka/status/1918155905763516492,priority_5,YES,High,Gemini WBC2026と誤記 実際はWBC2025
West Coast Brewing,2,4,production_scale,"552 beers リリースで Untappd 3.98 維持",https://untappd.com/West_Coast_Brewing,priority_3,YES,High,
West Coast Brewing,3,5,unique_concept,"Hop Dude世界観 毎週新作CBD等実験",https://beertengoku.com/2020/07/03/west-coast-brewing-information/,priority_4,YES,High,
West Coast Brewing,4,4,national_influence,"国内ホップ主義の象徴",https://beertengoku.com/2020/07/03/west-coast-brewing-information/,priority_4,YES,Mid,
West Coast Brewing,1_untappd,3.98,untappd_aggregate,"Untappd brewery aggregate 3.98 / 110113 ratings",https://untappd.com/West_Coast_Brewing,priority_3,YES,High,ChatGPT live-fetch 値
Baird Brewing,1,4,untappd_volume,"Untappd 3.52 / 131420 ratings 日本最大級レビュー数",https://untappd.com/bairdbeer,priority_3,YES,High,
Baird Brewing,3,5,unique_concept,"Balance + Complexity = Character 485 beers",https://bairdbeer.com/,priority_5,YES,High,
Baird Brewing,4,5,history_pioneer,"日本クラフト史の先行組 海外開拓者",https://www.japanbeertimes.com/2025/04/a-brief-history-of-craft-beer-in-japan/?lang=ja,priority_4,YES,High,Gemini Q7で軸4過小評価を自認
Baird Brewing,1_untappd,3.52,untappd_aggregate,"Untappd brewery aggregate 3.52 / 131420 ratings",https://untappd.com/bairdbeer,priority_3,YES,High,
箕面ビール,1,5,WBC_Gold,"WBC2025 Gold Stout Classic Irish-Style Dry Stout",https://www.minoh-beer.jp/info/14718/,priority_1,YES,High,
箕面ビール,1,5,WBC_Bronze,"WBC2024 Bronze Pilsner Bohemian-Style Pilsener",https://www.minoh-beer.jp/info/12235/,priority_1,YES,High,
箕面ビール,1,5,WBC_Bronze,"WBC2025 Bronze Pilsner Bohemian-Style Pilsener",https://www.minoh-beer.jp/info/14718/,priority_1,YES,High,
箕面ビール,1,5,WBC_Silver,"WBC2026 Silver Stout Classic Irish-Style Dry Stout",https://store.minoh-beer.jp/products/wbc-a,priority_2,YES,Mid,
箕面ビール,2,5,quality_consistency,"定番ピルスナーの長期一貫性",https://www.minoh-beer.jp/info/12235/,priority_5,YES,High,
箕面ビール,3,3,classic_style,"王道スタイルを極める設計",https://www.therealjapan.com/japanese-craft-beer-beginners-guide/,priority_4,YES,Mid,
箕面ビール,4,5,industry_influence,"日本クラシック派の代表格",https://www.japanbeertimes.com/2025/04/a-brief-history-of-craft-beer-in-japan/?lang=ja,priority_4,YES,High,
箕面ビール,1_untappd,3.68,untappd_aggregate,"Untappd 3.68 / 52043 ratings",https://untappd.com/MinohBeer,priority_3,YES,High,
志賀高原ビール,1,4,untappd_indirect,"個別ビールスコア3.6-4.1 平均的に強い",https://untappd.com/b/tamamura-honten-co-shiga-kogen-ipa/69113,priority_3,YES,Mid,brewery aggregate取得不可
志賀高原ビール,2,4,quality_long_term,"定番/限定の長期信頼感",https://tamamura-honten.co.jp/,priority_5,YES,Mid,
志賀高原ビール,3,5,terroir,"自家栽培ホップ・酒米・木樽熟成テロワール体現",https://tamamura-honten.co.jp/,priority_5,YES,High,
志賀高原ビール,4,5,history_symbol,"日本クラフト史のシンボル SNOW MONKEY BEER LIVE主催",https://diskgarage.com/digaonline/news/202932,priority_4,YES,High,
志賀高原ビール,1_untappd,N/A,untappd_aggregate,"取得不能 ChatGPT/Phase Aともに live-fetch 失敗",https://untappd.com/TamamuraHonten,priority_3,YES,Low,Gemini「3.808」は Untappd UI(2桁表示)と矛盾→規則②違反確定
奈良醸造,1,5,WBC_Gold,"WBC2026 Gold Function American-Belgo-Style Ale",https://narabrewing.com/20260424blog,priority_1,YES,High,
奈良醸造,1,5,WBC_Gold,"WBC2026 Gold Lighthouse",https://narabrewing.com/20260424blog,priority_1,YES,High,
奈良醸造,2,4,quality_consistency,"主力2銘柄が同年WBC同時金賞",https://narabrewing.com/20260424blog,priority_1,YES,High,
